INITIAL,GENE NAME,NORMAL FUNCTION,HEALTH CONDITIONS RELATED TO GENETIC CHANGE
CAT ,catalase,"The CAT gene provides instructions for making pieces (subunits) of an enzyme called catalase. Four identical subunits, each attached (bound) to an iron-containing molecule called a heme group, form the functional enzyme.Catalase is active in cells and tissues throughout the body, where it breaks down hydrogen peroxide (H2O2) molecules into oxygen (O2) and water (H2O). Hydrogen peroxide is produced through chemical reactions within cells. At low levels, it is involved in several chemical signaling pathways, but at high levels it is toxic to cells. If hydrogen peroxide is not broken down by catalase, additional reactions convert it into compounds called reactive oxygen species that can damage DNA, proteins, and cell membranes.","Acatalasemia At least 13 mutations in the CAT gene have been found to cause acatalasemia, a condition characterized by very low catalase activity. Many people with acatalasemia never have any related health problems, although the condition has occasionally been associated with open sores (ulcers) inside the mouth leading to the death of soft tissue (gangrene). Acatalasemia also appears to increase the risk of developing type 2 diabetes (the most common form of diabetes) and is a potential risk factor for other common, complex diseases.The mutations that cause acatalasemia occur in both copies of the CAT gene in each cell, and they reduce the activity of catalase to less than 10 percent of normal. A shortage of this enzyme can allow hydrogen peroxide to build up to toxic levels in certain cells. For example, hydrogen peroxide produced by bacteria in the mouth may accumulate in and damage soft tissues, leading to mouth ulcers and gangrene. A buildup of hydrogen peroxide may also damage beta cells of the pancreas, which release a hormone called insulin that helps control blood sugar. Malfunctioning beta cells are thought to underlie the increased risk of type 2 diabetes in people with acatalasemia. It is unclear why some people have no health problems associated with a shortage of catalase activity.A related condition called hypocatalasemia occurs when only one of the two copies of the CAT gene in each cell has a mutation. This single mutation reduces the activity of catalase by approximately half. Like acatalasemia, hypocatalasemia usually does not cause any health problems. "
CATSPER1 ,cation channel sperm associated 1,"The CATSPER1 gene provides instructions for producing a protein that is found in the tail (flagellum) of sperm cells. The CATSPER1 protein plays a role in sperm cell movement (motility) and is required for sperm cells to push through the outside membrane of the egg cell during fertilization. The CATSPER1 protein is embedded in the membrane of sperm cells and is necessary for positively charged calcium atoms (calcium cations) to enter the cell. Calcium cations are required for a type of sperm motility called hyperactivation. Hyperactivation is characterized by vigorous movements of the sperm tail, which are necessary for the sperm to push through the membrane of the egg cell during fertilization.","CATSPER1-related nonsyndromic male infertility At least two mutations in the CATSPER1 gene have been found to cause CATSPER1-related nonsyndromic male infertility. These mutations are thought to lead to the production of a CATSPER1 protein that may be altered, nonfunctional, or quickly broken down (degraded) by the cell. A lack of functional CATSPER1 protein impairs calcium entry into the sperm cell, which decreases motility and prevents hyperactivation. Lack of hyperactivation results in sperm that are unable to push through the membrane of the egg cell and achieve fertilization. These sperm abnormalities are the cause of infertility in affected males. Male infertility is the only symptom of CATSPER1-related nonsyndromic male infertility. "
CATSPER2 ,cation channel sperm associated 2,"The CATSPER2 gene provides instructions for producing a protein that is found in the tail (flagellum) of sperm cells. The CATSPER2 protein plays a role in sperm cell movement (motility) and is required for sperm cells to push through the outside membrane of the egg cell during fertilization. The CATSPER2 protein is embedded in the membrane of the sperm tail and is necessary in order for positively charged calcium atoms (calcium cations) to enter the cell. Calcium cations are needed for a type of sperm motility called hyperactivation. Hyperactivation is characterized by vigorous movements of the sperm tail, which are required for the sperm to push through the membrane of the egg cell during fertilization.","Sensorineural deafness and male infertility The symptoms of sensorineural deafness and male infertility are caused by a deletion of genetic material on the long (q) arm of chromosome 15. The chromosomal region that is typically deleted contains multiple genes, including the CATSPER2 gene. People with this condition have the deletion in both copies of chromosome 15 in each cell. As a result of the deletion, affected individuals are missing both copies of the CATSPER2 gene, and no CATSPER2 protein is produced. A lack of CATSPER2 protein impairs calcium entry into the sperm cell, which decreases motility and prevents hyperactivation. Lack of hyperactivation results in sperm that are unable to push through the membrane of the egg cell and achieve fertilization. These sperm abnormalities are the cause of infertility in affected males. "
CAV1 ,caveolin 1,"The CAV1 gene provides instructions for making a protein called caveolin-1. This protein appears to have diverse functions in cells and tissues throughout the body.Caveolin-1 is the major component of caveolae, which are small pouches in the membrane that surrounds cells. Caveolae have multiple functions, some of which are not well understood. They are known to be involved in the transport of molecules from the cell membrane to the interior of the cell (endocytosis), processing of molecules on their way into the cell, maintaining the cell structure, and regulating chemical signaling pathways. Studies suggest that caveolae are particularly numerous in adipocytes, which are cells that store fats for energy. Adipocytes make up most of the body's fatty (adipose) tissue. In these cells, caveolae appear to be essential for the normal transport, processing, and storage of fats.Caveolin-1 is also found in many other parts of cells, where it regulates various chemical signaling pathways. Through these pathways, caveolin-1 is involved in regulating cell growth and division (proliferation), the process by which cells mature to perform specific functions (differentiation), cell survival and the self-destruction of cells (apoptosis), and cell movement. The functions of caveolin-1 likely differ depending on the type of cell and the part of the cell where the protein is found.","Congenital generalized lipodystrophy At least one mutation in the CAV1 gene has been found to cause congenital generalized lipodystrophy (also called Berardinelli-Seip congenital lipodystrophy) type 3. This rare condition is characterized by an almost total absence of adipose tissue and a very muscular appearance. A shortage of adipose tissue leads to multiple health problems, including high levels of fats called triglycerides circulating in the bloodstream (hypertriglyceridemia) and diabetes mellitus. Additional features of congenital generalized lipodystrophy type 3 include poor growth and short stature.The identified mutation replaces a single protein building block (amino acid) with a premature stop signal at position 38 of the caveolin-1 protein (written as Glu38Ter or E38X.) This mutation occurs in both copies of the CAV1 gene in each cell, and it prevents cells from producing any functional caveolin-1. It is unclear how a lack of this protein leads to the particular features of congenital generalized lipodystrophy type 3. However, the absence of caveolin-1 likely disrupts the normal development and function of adipocytes, which would prevent fats from being stored normally in adipose tissue. A lack of body fat underlies many of the signs and symptoms of this condition. "
CAV3 ,caveolin 3,"The CAV3 gene provides instructions for making a protein called caveolin-3, which is found in the membrane surrounding muscle cells. This protein is the main component of caveolae, which are small pouches in the muscle cell membrane. Within the caveolae, the caveolin-3 protein acts as a scaffold to organize other molecules that are important for cell signaling and maintenance of the cell structure. These molecules include the proteins that make up sodium channels, which transport positively charged sodium atoms (sodium ions) into cells. Sodium channels play a key role in a cell's ability to generate and transmit electrical signals. In cardiac muscle, sodium channels are involved in maintaining the heart's normal rhythm. Caveolin-3 may also help regulate calcium levels in the muscle cell, which control muscle contraction and relaxation.","CAV3-related distal myopathy At least two CAV3 gene mutations have been identified in people with distal myopathy, a disorder characterized by weakness and loss of function mainly affecting the muscles farthest from the center of the body (distal muscles), such as those of the hands and feet. Mutations that cause CAV3-related distal myopathy result in a shortage of caveolin-3 protein in the muscle cell membrane and a reduction in the number of caveolae. Researchers suggest that a shortage of caveolae impairs the structural integrity of muscle cells, interferes with cell signaling, and causes the self-destruction of cells (apoptosis). The resulting breakdown of muscle tissue leads to the signs and symptoms of CAV3-related distal myopathy. "
CAVIN1 ,caveolae associated protein 1,"The CAVIN1 gene provides instructions for making a protein called cavin-1. This protein is found in cells and tissues throughout the body. It is most abundant in several types of cells: osteoblasts, which are cells that build bones; muscle cells; and adipocytes, which are cells that store fats for energy. Adipocytes make up most of the body's fatty (adipose) tissue.Studies suggest that cavin-1 plays an essential role in forming and stabilizing caveolae, which are small pouches in the membrane that surrounds cells. Caveolae have multiple functions, some of which are not well understood. They are known to be involved in the transport of molecules from the cell membrane to the interior of the cell (endocytosis), processing of molecules on their way into the cell, maintaining the cell structure, and regulating chemical signaling pathways. Caveolae are particularly numerous in adipocytes, where they appear to be essential for the normal transport, processing, and storage of fats.Within cells, cavin-1 is also found in the nucleus and in the fluid that surrounds the nucleus (the cytoplasm). In addition to its role in caveolae, studies suggest that this protein is involved in repairing damage to the outer cell membrane, cell growth and division (proliferation), cell movement, stopping cell division in older cells (senescence), and regulating various chemical signaling pathways. The functions of cavin-1 likely differ depending on the type of cell and the part of the cell where the protein is found.","Congenital generalized lipodystrophy More than 10 mutations in the CAVIN1 gene have been found to cause congenital generalized lipodystrophy (also called Berardinelli-Seip congenital lipodystrophy) type 4. This rare condition is characterized by an almost total absence of adipose tissue and a very muscular appearance. A shortage of adipose tissue leads to multiple health problems, including high levels of fats called triglycerides circulating in the bloodstream (hypertriglyceridemia) and diabetes mellitus. Additional features of congenital generalized lipodystrophy type 4 include muscle weakness, delayed development, joint abnormalities, a narrowing of the lower part of the stomach (pyloric stenosis), and severe abnormalities of the heart rhythm (arrhythmias) that can lead to sudden death.All of the identified CAVIN1 gene mutations prevent cells from producing any functional cavin-1. A lack of this protein probably impairs the formation of caveolae. Researchers suspect that a shortage of these important structures on the cell membrane disrupts many cell functions. However, it is unknown specifically how the absence of cavin-1 leads to a loss of body fat and the other health problems associated with congenital generalized lipodystrophy type 4. "
CBFB ,core-binding factor subunit beta,"The CBFB gene provides instructions for making a protein called core binding factor beta (CBFβ), which is one piece of a protein complex known as core binding factor (CBF). CBFβ attaches (binds) to one of three related RUNX proteins (RUNX1, RUNX2, or RUNX3) to form different versions of CBF. These protein complexes bind to specific regions of DNA and help turn on (activate) certain genes.The presence of CBFβ helps the complex bind to DNA and protects the RUNX protein from being broken down. The function of CBF depends on which RUNX protein it includes. Once bound to DNA, the RUNX1 protein controls the activity of genes involved in the development of blood cells (hematopoiesis). The RUNX2 protein regulates genes important for bone cell development and formation of the skeleton. The RUNX3 protein primarily affects genes involved in the development of nerve cells.","Core binding factor acute myeloid leukemia Rearrangements of genetic material affecting the CBFB gene are involved in a form of blood cancer known as acute myeloid leukemia (AML). Because the genetic changes affect CBF, the condition is classified as core binding factor AML (CBF-AML). The most common of these rearrangements is an inversion of a region of chromosome 16 (written as inv(16)). An inversion involves breakage of the chromosome in two places; the resulting piece of DNA is reversed and reinserted into the chromosome. Less commonly, a rearrangement known as a translocation occurs between the two copies of chromosome 16 (written as t(16;16)). In this translocation, pieces of DNA from each copy of the chromosome break off and are interchanged. Both types of genetic rearrangement lead to the fusion of parts of two genes on chromosome 16, CBFB and MYH11. These rearrangements are associated with 5 to 8 percent of cases of AML in adults.When these rearrangements occur in early blood cells, the function of the RUNX1 protein is particularly affected. The protein produced from the fusion gene, called CBFβ-MYH11, can still bind to RUNX1 to form CBF. However, the function of CBF is impaired. The presence of CBFβ-MYH11 may block binding of CBF to DNA, preventing RUNX1 from controlling gene activity. Alternatively, the MYH11 portion of the fusion protein may interact with other proteins that prevent RUNX1 from controlling gene activity. This change in gene activity blocks the maturation (differentiation) of blood cells and leads to the production of abnormal, immature white blood cells called myeloid blasts. While inv(16) and t(16;16) are important for leukemia development, one or more additional genetic changes are typically needed for the myeloid blasts to develop into cancerous leukemia cells. "
CBS ,cystathionine-beta-synthase,"The CBS gene provides instructions for making an enzyme called cystathionine beta-synthase. This enzyme acts in a chemical pathway and is responsible for using vitamin B6 to convert building block of proteins (amino acid) called homocysteine and serine to a molecule called cytathionine. Another enzyme then converts cystathionine to the amino acid cysteine, which is used to build proteins or is broken down and excreted in urine. Additionally, other amino acids, including methionine, are produced in this pathway.","Homocystinuria More than 150 mutations that cause homocystinuria have been identified in the CBS gene. Most of these mutations change single amino acids in cystathionine beta-synthase. The most common mutation substitutes the amino acid threonine for the amino acid isoleucine at position 278 in the enzyme (written as Ile278Thr or I278T). Another common mutation, which is the most frequent cause of homocystinuria in the Irish population, replaces the amino acid glycine with the amino acid serine at position 307 (written as Gly307Ser or G307S). These mutations disrupt the normal function of cystathionine beta-synthase. As a result, homocysteine and other potentially toxic compounds build up in the blood, and homocysteine is excreted in urine. Researchers have not determined how excess homocysteine leads to the signs and symptoms of homocystinuria. "
CCBE1 ,collagen and calcium binding EGF domains 1,"The CCBE1 gene provides instructions for making a protein that is found in the lattice of proteins and other molecules outside the cell (extracellular matrix). The CCBE1 protein is involved in the formation of the lymphatic system, which consists of a network of vessels that transport lymph fluid and immune cells throughout the body. Specifically, the CCBE1 protein helps guide maturation (differentiation) and movement (migration) of immature cells called lymphangioblasts that will eventually form the lining (epithelium) of lymphatic vessels.","Hennekam syndrome At least 13 mutations in the CCBE1 gene have been found to cause Hennekam syndrome, an inherited disorder resulting from malformation of the lymphatic system. Most CCBE1 gene mutations change single protein building blocks (amino acids) in the CCBE1 protein leading to a change in the three-dimensional shape of the protein. The abnormal protein cannot play its role in the formation of the lymphatic vessel epithelium. A poorly formed lymphatic system leads to lymphatic vessels that are abnormally expanded (lymphangiectasia) and are prone to break open (rupture), puffiness or swelling caused by a buildup of fluid (lymphedema), and other features of Hennekam syndrome. CCBE1 gene mutations account for about 25 percent of all cases of Hennekam syndrome. "
CCM2 ,CCM2 scaffold protein,"The CCM2 gene provides instructions for making a protein called malcavernin, which strengthens the interactions between cells that form blood vessels and limits leakage from the vessels. Malcavernin interacts with a number of other proteins to form a complex that is found in the junctions that connect neighboring cells. As part of this complex, malcavernin helps turn off (suppress) a signaling molecule known as RhoA-GTPase. This molecule plays a role in regulating the actin cytoskeleton, which is a network of fibers that makes up the cell's structural framework. When turned on, RhoA-GTPase stimulates the formation of actin fibers, which has been linked to weakened junctions between cells and increased leakage from blood vessels.Malcavernin is also involved in a process called angiogenesis, which is the formation of new blood vessels.","Cerebral cavernous malformation Dozens of mutations in the CCM2 gene have been identified in families with cerebral cavernous malformations, which are collections of blood vessels in the brain that are weak and prone to leakage. Most of these mutations result in an abnormally short or malformed malcavernin protein that does not function. A shortage of this protein likely impairs the function of the complex. As a result, RhoA-GTPase signaling is turned on abnormally, weakening cellular junctions and increasing the permeability of blood vessel walls. The increased leakage into the brain can cause health problems such as headaches, seizures, and bleeding in the brain (cerebral hemorrhage) in some people with cerebral cavernous malformations.Mutations in the CCM2 gene are involved in approximately 15 percent of all familial cerebral cavernous malformation cases. "
CCN6 ,cellular communication network factor 6,"The CCN6 gene provides instructions for making a protein that appears to be involved in bone growth and the maintenance of cartilage, which covers and protects the ends of bones. The function of the CCN6 protein is not well understood. It is part of a family of proteins that are involved in the growth and maintenance of connective tissues, such as bone, cartilage, and blood vessels. The CCN6 protein is made in cells called chondrocytes, which produce and maintain cartilage, and is associated with the production of certain proteins that make up cartilage, but its role in their production is unclear. CCN6 may also help control signaling pathways involved in the development of cartilage and bone and may help regulate the breakdown of cartilage components.","Progressive pseudorheumatoid dysplasia Mutations in the CCN6 gene cause progressive pseudorheumatoid dysplasia (PPRD), which is a condition that causes stiffness and pain in the joints of the hands, hips, knees, and spine. The joint problems worsen over time, and movement in the joints becomes limited. Most of the mutations involved in this condition lead to production of an abnormally short CCN6 protein that is probably nonfunctional. Other mutations change single protein building blocks (amino acids) in the protein. Loss of CCN6 protein function likely disrupts normal cartilage maintenance and bone growth, leading to the joint problems in PPRD. "
CCND2 ,cyclin D2,"The CCND2 gene provides instructions for making a protein called cyclin D2. Cyclins are a family of proteins that control how cells proceed through the multi-step cycle of cell division. Cyclin D2 helps to regulate a step in the cycle called the G1-S transition, in which the cell moves from the G1 phase, when cell growth occurs, to the S phase, when the cell's DNA is copied (replicated) in preparation for cell division. Cyclin D2's role in the cell division cycle makes it a key controller of the rate of cell growth and division (proliferation) in the body.The cyclin D2 protein is regulated by a chemical signaling pathway called the PI3K-AKT-mTOR pathway. This signaling influences many critical cell functions, including the creation (synthesis) of new proteins, cell proliferation, and the survival of cells. The PI3K-AKT-mTOR pathway is essential for the normal development of many parts of the body, including the brain.","Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome At least seven mutations in the CCND2 gene have been found to cause megalencephaly-polymicrogyria-polydactyly-hydrocephalus (MPPH) syndrome. This rare condition affects the development of the brain, causing an unusually large brain and head size (megalencephaly) and a brain abnormality called bilateral perisylvian polymicrogyria (BPP). Some affected individuals also have an extra finger or toe on one or more of their hands or feet (polydactyly).Each of the known mutations changes a single protein building block (amino acid) in the cyclin D2 protein. These changes prevent the protein from being broken down (degraded) when it is no longer needed. The resulting buildup of cyclin D2 in cells triggers them to continue dividing when they otherwise would not have, leading to abnormal cell proliferation. In the brain, the increased number of cells leads to rapid and abnormal brain growth starting before birth. It is less clear how a buildup of cyclin D2 contributes to polydactyly, although the extra digits are probably related to abnormal cell proliferation in the developing hands and feet. "
CD40LG ,CD40 ligand,"The CD40LG gene provides instructions for making a protein called CD40 ligand, which is found on the surface of immune system cells known as T cells. CD40 ligand attaches like a key in a lock to its receptor protein, CD40, which is located on the surface of immune system cells known as B cells. B cells are involved in the production of proteins called antibodies or immunoglobulins that help protect the body against infection. There are several classes of antibodies, and each one has a different function in the immune system. B cells are able to mature into the cells that produce immunoglobulin M (IgM) without any signals from other cells. In order for B cells to mature into the cells that produce antibodies of a different class, the CD40 receptor must interact with CD40 ligand. When these two proteins are connected, they trigger a series of chemical signals that instruct the B cell to start making immunoglobulin G (IgG), immunoglobulin A (IgA), and immunoglobulin E (IgE).CD40 ligand is also necessary for T cells to interact with other cells of the immune system, and it plays a key role in T cell differentiation (the process by which cells mature to carry out specific functions).","X-linked hyper IgM syndrome More than 150 mutations in the CD40LG gene have been found to cause X-linked hyper IgM syndrome. These mutations lead to the production of an abnormal CD40 ligand or prevent production of this protein. If CD40 ligand does not attach to its receptor on B cells, these cells cannot produce IgG, IgA, or IgE antibodies. Mutations in the CD40LG gene also impair the T cell's ability to differentiate and interact with immune system cells. People with X-linked hyper IgM syndrome are more susceptible to infections because they do not have a properly functioning immune system. "
CDAN1 ,codanin 1,"The CDAN1 gene provides instructions for making a protein called codanin-1. Although this protein is active in cells throughout the body, very little is known about its function.A recent study suggests that codanin-1 is associated with a form of DNA called heterochromatin. Heterochromatin is densely packed DNA that contains few functional genes, but it plays an important role in maintaining the structure of the nucleus (where most of the cell's DNA is located).Researchers speculate that codanin-1 may be involved in the formation of red blood cells, a process called erythropoiesis. Specifically, this protein may play a key role in the organization of heterochromatin during the division of these developing cells.","Congenital dyserythropoietic anemia More than 30 mutations in the CDAN1 gene have been identified in people with congenital dyserythropoietic anemia (CDA) type I. Most of these mutations change single protein building blocks (amino acids) in the codanin-1 protein. The CDAN1 mutations that cause CDA type I likely reduce the function of codanin-1. However, researchers suspect that these mutations do not completely eliminate the function of the protein, which appears to be essential for life.It is unclear how CDAN1 mutations cause the characteristic features of CDA type I. A shortage of functional codanin-1 somehow disrupts the normal development of red blood cells. In people with CDA type I, immature red blood cells called erythroblasts are large, unusually shaped, and have an abnormally formed nucleus. These defective erythroblasts cannot develop into functional mature red blood cells. The resulting shortage of healthy red blood cells leads to the characteristic signs and symptoms of anemia, as well as complications including an enlarged liver and spleen (hepatosplenomegaly) and an abnormal buildup of iron that can damage the body's organs. "
CDC6 ,cell division cycle 6,"The CDC6 gene provides instructions for making a protein that is important in the copying of a cell's DNA before the cell divides (a process known as DNA replication). The protein produced from this gene, called cell division cycle 6 or CDC6, is one of a group of proteins known as the pre-replication complex. In a multi-step process, the components of this complex attach (bind) to certain regions of DNA known as origins of replication (or origins), where the process of DNA copying begins. When the pre-replication complex is attached to the origin, replication is able to begin at that location. This tightly controlled process, called replication licensing, helps ensure that DNA replication occurs only once per cell division and is required for cells to divide.","Meier-Gorlin syndrome At least one mutation in the CDC6 gene causes Meier-Gorlin syndrome, a condition characterized by short stature, underdeveloped kneecaps, and small ears. This mutation, which is a rare cause of the condition, changes a single protein building block (amino acid) in the CDC6 protein, replacing the amino acid threonine at position 323 with the amino acid arginine (written as Thr323Arg). As a result, assembly of the pre-replication complex is impaired, which disrupts replication licensing; however, it is not clear how a reduction in replication licensing leads to Meier-Gorlin syndrome. Researchers speculate that such a reduction delays the cell division process, which slows growth of the bones and other tissues during development. It is not known why development of the kneecaps and ears is particularly affected in Meier-Gorlin syndrome. "
CDC73 ,cell division cycle 73,"The CDC73 gene (also known as HRPT2) provides instructions for making a protein called parafibromin. This protein is found primarily in the nucleus of cells and is likely involved in regulating gene transcription, which is the first step in protein production. Parafibromin functions as a tumor suppressor, which means it keeps cells from growing and dividing (proliferating) too rapidly or in an uncontrolled way. When parafibromin is found outside the nucleus, it appears to be involved in the organization of the cell's structural framework (the cytoskeleton).","Familial isolated hyperparathyroidism Inherited mutations in the CDC73 gene have been found in some families with familial isolated hyperparathyroidism, a condition characterized by overactivity of the parathyroid glands (primary hyperparathyroidism). These glands release a hormone that helps control the normal balance of calcium in the blood. Primary hyperparathyroidism disrupts this balance, which can lead to high blood calcium levels (hypercalcemia), kidney stones, thinning of the bones (osteoporosis), nausea, vomiting, high blood pressure (hypertension), weakness, and fatigue. Primary hyperparathyroidism is a characteristic feature of hyperparathyroidism-jaw tumor syndrome (described below); however, familial isolated hyperparathyroidism is diagnosed in people with hyperparathyroidism but not the other features of hyperparathyroidism-jaw tumor syndrome.CDC73 gene mutations that cause familial isolated hyperparathyroidism likely result in decreased activity of the parafibromin protein. Reduced parafibromin activity can cause increased cell proliferation, leading to the formation of tumors involving the parathyroid glands. Parathyroid tumors in people with familial isolated hyperparathyroidism are usually noncancerous (benign). The tumors cause the glands to be overactive, and this overactivity leads to the signs and symptoms of the condition. The mutations associated with familial isolated hyperparathyroidism are thought to have a less severe effect on protein function than those that cause hyperparathyroidism-jaw tumor syndrome. Occasionally, individuals with familial isolated hyperparathyroidism later develop features of hyperparathyroidism-jaw tumor syndrome, although some never do. Familial isolated hyperparathyroidism caused by CDC73 gene mutations may be an early or mild form of hyperparathyroidism-jaw tumor syndrome. "
CDH1 ,cadherin 1,"The CDH1 gene provides instructions for making a protein called epithelial cadherin or E-cadherin. This protein is found within the membrane that surrounds epithelial cells, which are the cells that line the surfaces and cavities of the body, such as the inside of the eyelids and mouth. E-cadherin belongs to a family of proteins called cadherins whose function is to help neighboring cells stick to one another (cell adhesion) to form organized tissues. Another protein called p120-catenin, produced from the CTNND1 gene, helps keep E-cadherin in its proper place in the cell membrane, preventing it from being taken into the cell through a process called endocytosis and broken down prematurely.E-cadherin is one of the best-understood cadherin proteins. In addition to its role in cell adhesion, E-cadherin is involved in transmitting chemical signals within cells, controlling cell maturation and movement, and regulating the activity of certain genes. Interactions between the E-cadherin and p120-catenin proteins, in particular, are thought to be important for normal development of the head and face (craniofacial development), including the eyelids and teeth. E-cadherin also acts as a tumor suppressor protein, which means it prevents cells from growing and dividing too rapidly or in an uncontrolled way.","Blepharocheilodontic syndrome At least five inherited CDH1 gene mutations have been identified in people with blepharocheilodontic (BCD) syndrome. This disorder is present at birth and causes abnormalities mainly affecting the eyelids and mouth, including openings on both sides of the upper lip (bilateral cleft lip) and an opening in the roof of the mouth (cleft palate). CDH1 gene mutations that cause BCD syndrome are thought to result in an abnormal E-cadherin protein that is quickly broken down. A shortage of E-cadherin protein impairs the interaction between E-cadherin and p120-catenin and affects craniofacial development, leading to the features of BCD syndrome. Despite the association of CDH1 gene mutations with increased cancer risk (see below), it is unclear whether people with BCD syndrome are at increased risk of developing cancer. "
CDH23 ,cadherin related 23,"The CDH23 gene provides instructions for making cadherin 23, a type of protein that helps cells stick together. Different versions of this protein are made in different cell types, including a short version in the retina, which is the light-sensitive layer in the back of the eye, and a longer version in the inner ear. Cadherin 23 interacts with other proteins in the cell membrane as part of a protein complex that is involved in cell attachment.Research suggests that the cadherin 23 protein complex helps to shape structures in the inner ear called hair bundles. These structures are made of stereocilia, which are hairlike projections that bend in response to sound waves. This bending motion is critical for converting sound waves to nerve impulses, which are then transmitted to the brain. Stereocilia are also elements of the vestibular system, the part of the inner ear that helps maintain the body's balance and orientation in space. Bending of these stereocilia is needed to transmit signals from the vestibular system to the brain.In the retina, the role of the cadherin 23 protein complex is less well understood. Studies suggest that it plays a critical role in the function of photoreceptor cells, which are specialized cells that detect light and color.","Nonsyndromic hearing loss Several dozen mutations in the CDH23 gene have been identified in people with nonsyndromic hearing loss, which is loss of hearing that is not associated with other signs and symptoms. Mutations in this gene cause a form of hearing loss designated as DFNB12. This type of hearing loss begins before a child learns to speak (prelingual) and is severe to profound.Most of the mutations that cause DFNB12 change single protein building blocks (amino acids) in cadherin 23. These mutations reduce but do not eliminate the function of this protein. The altered protein disrupts development of stereocilia in the inner ear, which leads to hearing loss.Researchers speculate that some children with apparently nonsyndromic hearing loss caused by a CDH23 mutation may actually have Usher syndrome (described below). A few children thought to have DFNB12 have developed the vision disorder retinitis pigmentosa later in life, which is characteristic of Usher syndrome. "
CDKL5 ,cyclin dependent kinase like 5,"The CDKL5 gene provides instructions for making a protein that is found in cells and tissues throughout the body. However, it is most active in the brain and is essential for normal brain development and function. There are five versions (isoforms) of the CDKL5 protein. These isoforms vary in length and in the tissues in which they are most abundant.Studies suggest that the CDKL5 protein is involved in the formation, growth, and movement (migration) of nerve cells (neurons), as well as cell division. It also plays a role in the transmission of chemical signals at the connections (synapses) between neurons.The CDKL5 protein acts as a kinase, which is an enzyme that changes the activity of other proteins by adding a cluster of oxygen and phosphorus atoms (a phosphate group) at specific positions. It is possible that one of the proteins targeted by the CDKL5 protein is MeCP2, which is produced from the MECP2 gene. The MeCP2 protein plays important roles in the function of neurons and other brain cells and in the maintenance of neuronal synapses. Researchers have not determined which other proteins are targeted by the CDKL5 protein.","CDKL5 deficiency disorder At least 150 mutations in the CDKL5 gene have been found to cause CDKL5 deficiency disorder. This rare condition is characterized by seizures that begin in infancy, followed by significant delays in many aspects of development. Affected individuals have severe intellectual disability and most do not walk independently. About 90 percent of people diagnosed with CDKL5 deficiency disorder are female.CDKL5 deficiency disorder was previously classified as an atypical form of Rett syndrome. However, CDKL5 deficiency disorder is now considered a separate condition. Rett syndrome, which affects development in girls and women, results from mutations in the MECP2 gene. Because the CDKL5 and MeCP2 proteins may interact in the brain, the two disorders might be caused by a similar mechanism.Mutations in the CDKL5 gene reduce the amount of functional CDKL5 protein or alter its activity in neurons. A shortage (deficiency) of CDKL5 or impairment of its function disrupts brain development, but it is unclear how these changes cause the specific features of CDKL5 deficiency disorder.Most CDKL5 gene mutations change single protein building blocks (amino acids) in the CDKL5 protein. This type of mutation occurs most often in a region of the protein called the kinase domain, which is essential for the protein's kinase function. Mutations in the kinase domain disrupt the ability of CDKL5 to add phosphate groups to other proteins. Compared with other types of mutation, these mutations are associated with more severe signs and symptoms of CDKL5 deficiency disorder.Other CDKL5 gene mutations alter different regions of the CDKL5 protein or lead to the production of an abnormally short version of the protein. Research has shown that mutations affecting parts of the protein other than the kinase domain tend to cause less severe signs and symptoms of CDKL5 deficiency disorder than other types of mutations. "
